,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank
0,1371,1.05401844532,0.888888888889,0.0,17.0,0.277777777778,101,2016-04-03 ~ 2016-04-09,$ave Dat Money%LIL DICKY ,1,101,89,95,95,89,82,80,73,77,101
1,1372,15.8152706677,0.911845730028,0.0110192837466,66.4,0.31129476584,101,2016-04-10 ~ 2016-04-16,$ave Dat Money%LIL DICKY ,1,101,101,89,95,95,89,82,80,73,101
2,1373,16937.704918,0.94425087108,0.0,272.0,0.243902439024,101,2016-04-17 ~ 2016-04-23,$ave Dat Money%LIL DICKY ,1,101,101,101,89,95,95,89,82,80,101
0,1371,7.78734338932,0.248322147651,0.0671140939597,3.45454545455,0.355704697987,18,2016-04-03 ~ 2016-04-09,2 Phones%KEVIN GATES,2,21,25,29,40,44,46,67,62,71,18
1,1372,102.097155848,0.2,0.0613496932515,3.24503311258,0.575051124744,18,2016-04-10 ~ 2016-04-16,2 Phones%KEVIN GATES,2,18,21,25,29,40,44,46,67,62,18
2,1373,3816.25441696,0.186666666667,0.0492592592593,3.76865671642,0.864444444444,18,2016-04-17 ~ 2016-04-23,2 Phones%KEVIN GATES,2,18,18,21,25,29,40,44,46,67,17
0,1371,10.9030689125,0.330049261084,0.0246305418719,11.3333333333,0.290640394089,40,2016-04-03 ~ 2016-04-09,679%FETTY WAP ,3,39,35,30,34,31,31,28,20,18,39
1,1372,101.867382049,0.23660346249,0.0193734542457,11.9791666667,0.360263808739,39,2016-04-10 ~ 2016-04-16,679%FETTY WAP ,3,40,39,35,30,34,31,31,28,20,40
2,1373,1771.76470588,0.219621513944,0.0199203187251,10.7804878049,0.227091633466,40,2016-04-17 ~ 2016-04-23,679%FETTY WAP ,3,39,40,39,35,30,34,31,31,28,101
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-10 ~ 2016-04-16,7 Years%LUKAS GRAHAM,4,3,5,9,12,20,35,43,57,96,2
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,3,2016-04-03 ~ 2016-04-09,7 Years%LUKAS GRAHAM,4,5,9,12,20,35,43,57,96,101,2
0,1373,1048.19782428,0.250581438968,0.0163553154775,15.2557077626,3.36214269638,2,2016-04-17 ~ 2016-04-23,7 Years%LUKAS GRAHAM,4,2,3,5,9,12,20,35,43,57,2
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-03 ~ 2016-04-09,Acquainted%THE WEEKND,5,77,75,76,82,95,98,99,100,101,73
0,1372,0.175167564806,1.0,0.0,5.0,0.0,73,2016-04-10 ~ 2016-04-16,Acquainted%THE WEEKND,5,76,77,75,76,82,95,98,99,100,70
1,1373,0.0119047619048,1.0,0.0,3.0,0.0,70,2016-04-17 ~ 2016-04-23,Acquainted%THE WEEKND,5,73,76,77,75,76,82,95,98,99,77
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,65,2016-04-03 ~ 2016-04-09,Adventure Of A Lifetime%COLDPLAY,6,53,41,33,28,13,36,45,47,50,76
0,1372,2.02528480568,0.0,0.0,1.0,0.25,76,2016-04-10 ~ 2016-04-16,Adventure Of A Lifetime%COLDPLAY,6,65,53,41,33,28,13,36,45,47,101
1,1373,19.4957983193,0.0,0.0,1.0,0.103448275862,101,2016-04-17 ~ 2016-04-23,Adventure Of A Lifetime%COLDPLAY,6,76,65,53,41,33,28,13,36,45,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,All I Ask%ADELE,7,101,101,101,77,101,101,101,101,101,101
0,1372,2.56110154905,0.0,0.0645161290323,0.333333333333,0.0,101,2016-04-10 ~ 2016-04-16,All I Ask%ADELE,7,101,101,101,101,77,101,101,101,101,101
1,1373,2.81616688396,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,All I Ask%ADELE,7,101,101,101,101,101,77,101,101,101,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,American Country Love Song%JAKE OWEN,8,83,101,101,101,101,101,101,101,101,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,American Country Love Song%JAKE OWEN,8,101,83,101,101,101,101,101,101,101,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,American Country Love Song%JAKE OWEN,8,101,101,83,101,101,101,101,101,101,101
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Antidote%TRAVI$ SCOTT,9,101,101,47,40,36,32,28,23,19,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Antidote%TRAVI$ SCOTT,9,101,47,40,36,32,28,23,19,17,101
0,1373,0.0178571428571,1.0,0.0,4.0,0.0,101,2016-04-17 ~ 2016-04-23,Antidote%TRAVI$ SCOTT,9,101,101,101,47,40,36,32,28,23,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,29,2016-04-03 ~ 2016-04-09,Back To Sleep%CHRIS BROWN,10,25,20,36,50,50,51,48,49,51,30
0,1372,1.0848274823,0.833333333333,0.0,6.0,0.0,30,2016-04-10 ~ 2016-04-16,Back To Sleep%CHRIS BROWN,10,29,25,20,36,50,50,51,48,49,37
1,1373,2.50173731758,0.0,0.0,1.0,0.0,37,2016-04-17 ~ 2016-04-23,Back To Sleep%CHRIS BROWN,10,30,29,25,20,36,50,50,51,48,44
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,89,2016-04-03 ~ 2016-04-09,Backroad Song%GRANGER SMITH,11,65,71,60,57,49,55,55,57,65,94
0,1372,0.275345137481,0.75,0.0,4.0,1.25,94,2016-04-10 ~ 2016-04-16,Backroad Song%GRANGER SMITH,11,89,65,71,60,57,49,55,55,57,101
1,1373,0.251032895769,0.25,0.5,0.666666666667,0.0,101,2016-04-17 ~ 2016-04-23,Backroad Song%GRANGER SMITH,11,94,89,65,71,60,57,49,55,55,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Bake Sale%WIZ KHALIFA ,12,101,101,101,101,74,101,56,101,101,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Bake Sale%WIZ KHALIFA ,12,101,101,101,101,101,74,101,56,101,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Bake Sale%WIZ KHALIFA ,12,101,101,101,101,101,101,74,101,56,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Bang My Head%DAVID GUETTA ,13,101,101,101,93,81,76,79,84,98,101
0,1372,1.84030986414,0.0,0.0,1.0,0.269230769231,101,2016-04-10 ~ 2016-04-16,Bang My Head%DAVID GUETTA ,13,101,101,101,101,93,81,76,79,84,101
1,1373,1.01348973607,0.0,0.0,1.0,0.166666666667,101,2016-04-17 ~ 2016-04-23,Bang My Head%DAVID GUETTA ,13,101,101,101,101,101,93,81,76,79,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Be Alright%ARIANA GRANDE,14,101,101,101,101,101,101,101,101,101,43
0,1372,0.494845360825,0.0,0.0,1.0,0.0,43,2016-04-10 ~ 2016-04-16,Be Alright%ARIANA GRANDE,14,101,101,101,101,101,101,101,101,101,101
1,1373,0.261770587166,0.25,0.0,2.0,0.0,101,2016-04-17 ~ 2016-04-23,Be Alright%ARIANA GRANDE,14,43,101,101,101,101,101,101,101,101,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,52,2016-04-03 ~ 2016-04-09,Beautiful Drug%ZAC BROWN BAND,15,55,57,59,64,60,63,63,64,69,72
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,72,2016-04-10 ~ 2016-04-16,Beautiful Drug%ZAC BROWN BAND,15,52,55,57,59,64,60,63,63,64,76
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,76,2016-04-17 ~ 2016-04-23,Beautiful Drug%ZAC BROWN BAND,15,72,52,55,57,59,64,60,63,63,94
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,57,2016-04-03 ~ 2016-04-09,Best Friend%YOUNG THUG,16,56,51,48,51,53,52,49,45,52,65
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,65,2016-04-10 ~ 2016-04-16,Best Friend%YOUNG THUG,16,57,56,51,48,51,53,52,49,45,66
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,66,2016-04-17 ~ 2016-04-23,Best Friend%YOUNG THUG,16,65,57,56,51,48,51,53,52,49,76
0,1371,0.63464081093,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Bet You Can't Do It Like Me%DLOW,17,101,101,101,97,91,90,78,53,58,101
1,1372,4.80074116706,0.431578947368,0.0105263157895,21.0,0.0421052631579,101,2016-04-10 ~ 2016-04-16,Bet You Can't Do It Like Me%DLOW,17,101,101,101,101,97,91,90,78,53,101
2,1373,36.6510381782,0.315789473684,0.0,25.0,0.131578947368,101,2016-04-17 ~ 2016-04-23,Bet You Can't Do It Like Me%DLOW,17,101,101,101,101,101,97,91,90,78,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Body%DREEZY ,18,101,101,101,101,101,101,101,101,101,98
0,1372,1.21167029813,0.315789473684,0.157894736842,1.75,0.368421052632,98,2016-04-10 ~ 2016-04-16,Body%DREEZY ,18,101,101,101,101,101,101,101,101,101,89
1,1373,0.762913907285,0.0,0.25,0.5,0.0,89,2016-04-17 ~ 2016-04-23,Body%DREEZY ,18,98,101,101,101,101,101,101,101,101,88
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,99,2016-04-03 ~ 2016-04-09,Break On Me.%KEITH URBAN,19,81,65,54,66,61,62,61,65,72,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Break On Me.%KEITH URBAN,19,99,81,65,54,66,61,62,61,65,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Break On Me.%KEITH URBAN,19,101,99,81,65,54,66,61,62,61,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Break Up In A Small Town%SAM HUNT,20,101,101,101,47,40,33,30,33,33,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Break Up In A Small Town%SAM HUNT,20,101,101,101,101,47,40,33,30,33,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Break Up In A Small Town%SAM HUNT,20,101,101,101,101,101,47,40,33,30,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,9,2016-04-03 ~ 2016-04-09,Cake By The Ocean%DNCE,21,9,10,9,10,11,14,18,22,22,9
0,1372,3.85077426893,0.4,0.0615384615385,5.4,0.323076923077,9,2016-04-10 ~ 2016-04-16,Cake By The Ocean%DNCE,21,9,9,10,9,10,11,14,18,22,11
1,1373,1.40610020239,0.030303030303,0.0,2.0,0.0909090909091,11,2016-04-17 ~ 2016-04-23,Cake By The Ocean%DNCE,21,9,9,9,10,9,10,11,14,18,12
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,42,2016-04-03 ~ 2016-04-09,Came Here To Forget%BLAKE SHELTON,22,54,101,101,101,101,101,101,101,101,61
0,1372,0.0119047619048,0.0,0.0,1.0,0.0,61,2016-04-10 ~ 2016-04-16,Came Here To Forget%BLAKE SHELTON,22,42,54,101,101,101,101,101,101,101,48
1,1373,13.4663341646,0.0,0.0,1.0,0.666666666667,48,2016-04-17 ~ 2016-04-23,Came Here To Forget%BLAKE SHELTON,22,61,42,54,101,101,101,101,101,101,40
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Can't Feel My Face%THE WEEKND,23,50,45,39,38,32,42,42,35,32,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,50,2016-04-03 ~ 2016-04-09,Can't Feel My Face%THE WEEKND,23,45,39,38,32,42,42,35,32,27,101
0,1373,324.092135298,0.149442950442,0.0165194006915,8.86363636364,0.339608144449,101,2016-04-17 ~ 2016-04-23,Can't Feel My Face%THE WEEKND,23,101,50,45,39,38,32,42,42,35,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,87,2016-04-03 ~ 2016-04-09,Cheap Thrills%SIA ,24,92,91,97,81,101,101,101,101,101,71
0,1372,2.08725902305,1.0,0.0,29.0,0.321428571429,71,2016-04-10 ~ 2016-04-16,Cheap Thrills%SIA ,24,87,92,91,97,81,101,101,101,101,39
1,1373,1.55613810028,1.0,0.0,32.0,0.258064516129,39,2016-04-17 ~ 2016-04-23,Cheap Thrills%SIA ,24,71,87,92,91,97,81,101,101,101,55
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,77,2016-04-03 ~ 2016-04-09,Company%JUSTIN BIEBER,25,89,101,101,101,101,101,101,101,101,66
0,1372,8.40441770674,0.406593406593,0.0549450549451,6.81818181818,0.461538461538,66,2016-04-10 ~ 2016-04-16,Company%JUSTIN BIEBER,25,77,89,101,101,101,101,101,101,101,57
1,1373,18.5716023847,0.290094339623,0.063679245283,4.42857142857,0.936320754717,57,2016-04-17 ~ 2016-04-23,Company%JUSTIN BIEBER,25,66,77,89,101,101,101,101,101,101,57
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,60,2016-04-03 ~ 2016-04-09,Confession%FLORIDA GEORGIA LINE,26,60,62,62,69,68,69,69,78,84,55
0,1372,313.613101331,0.0365535248042,0.0130548302872,2.63636363636,0.0744125326371,55,2016-04-10 ~ 2016-04-16,Confession%FLORIDA GEORGIA LINE,26,60,60,62,62,69,68,69,69,78,56
1,1373,1513.51485149,0.091404180159,0.036797173977,2.4780876494,2.08007065057,56,2016-04-17 ~ 2016-04-23,Confession%FLORIDA GEORGIA LINE,26,55,60,60,62,62,69,68,69,69,53
0,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Confident%DEMI LOVATO,27,101,101,101,101,101,75,70,67,47,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Confident%DEMI LOVATO,27,101,101,101,75,70,67,47,40,30,101
0,1372,0.210056452672,0.5,0.0,3.0,0.25,101,2016-04-10 ~ 2016-04-16,Confident%DEMI LOVATO,27,101,101,101,101,75,70,67,47,40,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,74,2016-04-03 ~ 2016-04-09,Cut It%O.T. GENASIS ,28,80,85,94,101,101,101,101,101,101,68
0,1372,9.52801058668,0.984848484848,0.0,66.0,0.5,68,2016-04-10 ~ 2016-04-16,Cut It%O.T. GENASIS ,28,74,80,85,94,101,101,101,101,101,62
1,1373,7.68235511569,0.984251968504,0.0157480314961,42.0,0.157480314961,62,2016-04-17 ~ 2016-04-23,Cut It%O.T. GENASIS ,28,68,74,80,85,94,101,101,101,101,56
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,10,2016-04-03 ~ 2016-04-09,Dangerous Woman%ARIANA GRANDE,29,101,101,101,101,101,101,101,101,101,13
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,13,2016-04-10 ~ 2016-04-16,Dangerous Woman%ARIANA GRANDE,29,10,101,101,101,101,101,101,101,101,12
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,12,2016-04-17 ~ 2016-04-23,Dangerous Woman%ARIANA GRANDE,29,13,10,101,101,101,101,101,101,101,13
0,1371,0.00595238095238,0.0,1.0,0.5,1.0,101,2016-04-03 ~ 2016-04-09,Dessert%DAWIN,30,101,101,101,100,98,93,90,68,79,101
1,1372,1.81538757084,0.0,1.0,0.0454545454545,0.238095238095,101,2016-04-10 ~ 2016-04-16,Dessert%DAWIN,30,101,101,101,101,100,98,93,90,68,101
2,1373,22.7811130943,0.0,1.0,0.025,0.0,101,2016-04-17 ~ 2016-04-23,Dessert%DAWIN,30,101,101,101,101,101,100,98,93,90,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Dibs%KELSEA BALLERINI,31,101,101,69,60,58,66,66,71,75,101
0,1372,2.85313051821,0.298245614035,0.0350877192982,6.0,0.157894736842,101,2016-04-10 ~ 2016-04-16,Dibs%KELSEA BALLERINI,31,101,101,101,69,60,58,66,66,71,101
1,1373,4.90201490478,0.283783783784,0.0,22.0,0.148648648649,101,2016-04-17 ~ 2016-04-23,Dibs%KELSEA BALLERINI,31,101,101,101,101,69,60,58,66,66,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Die A Happy Man%NELLY,32,101,101,101,101,83,101,101,101,101,101
0,1372,2.9786940633,0.75,0.0,19.0,0.791666666667,101,2016-04-10 ~ 2016-04-16,Die A Happy Man%NELLY,32,101,101,101,101,101,83,101,101,101,101
1,1373,1.92465338418,0.266666666667,0.0,5.0,5.2,101,2016-04-17 ~ 2016-04-23,Die A Happy Man%NELLY,32,101,101,101,101,101,101,83,101,101,101
0,1373,0.00595238095238,0.0,0.0,1.0,0.0,45,2016-04-17 ~ 2016-04-23,Die A Happy Man%THOMAS RHETT,33,44,43,41,38,39,35,30,30,26,36
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,43,2016-04-03 ~ 2016-04-09,Die A Happy Man%THOMAS RHETT,33,41,38,39,35,30,30,26,25,24,44
0,1372,0.00595238095238,1.0,0.0,2.0,0.0,44,2016-04-10 ~ 2016-04-16,Die A Happy Man%THOMAS RHETT,33,43,41,38,39,35,30,30,26,25,45
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,54,2016-04-03 ~ 2016-04-09,Don't Let Me Down%THE CHAINSMOKERS ,34,63,76,81,101,85,101,101,101,101,31
0,1372,47.1074380165,0.947368421053,0.0,19.0,0.315789473684,31,2016-04-10 ~ 2016-04-16,Don't Let Me Down%THE CHAINSMOKERS ,34,54,63,76,81,101,85,101,101,101,25
1,1373,0.95802009181,1.0,0.0,9.0,0.375,25,2016-04-17 ~ 2016-04-23,Don't Let Me Down%THE CHAINSMOKERS ,34,31,54,63,76,81,101,85,101,101,22
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,23,2016-04-10 ~ 2016-04-16,Don't%BRYSON TILLER,35,21,19,19,17,16,17,19,16,15,24
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,21,2016-04-03 ~ 2016-04-09,Don't%BRYSON TILLER,35,19,19,17,16,17,19,16,15,13,23
0,1373,382.470692159,0.170095828636,0.818207440812,0.208024797658,0.745067643743,24,2016-04-17 ~ 2016-04-23,Don't%BRYSON TILLER,35,23,21,19,19,17,16,17,19,16,28
0,1372,0.00595238095238,0.0,0.0,1.0,0.0,25,2016-04-10 ~ 2016-04-16,Down In The DM%YO GOTTI,36,22,18,18,13,18,21,39,33,31,26
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,22,2016-04-03 ~ 2016-04-09,Down In The DM%YO GOTTI,36,18,18,13,18,21,39,33,31,36,25
0,1373,616.591422122,0.0338903271358,0.420334196281,0.0811415780638,3.52506472111,26,2016-04-17 ~ 2016-04-23,Down In The DM%YO GOTTI,36,25,22,18,18,13,18,21,39,33,32
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,44,2016-04-03 ~ 2016-04-09,Drunk On Your Love%BRETT ELDREDGE,37,49,54,52,61,59,61,62,69,94,40
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,40,2016-04-10 ~ 2016-04-16,Drunk On Your Love%BRETT ELDREDGE,37,44,49,54,52,61,59,61,62,69,35
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,35,2016-04-17 ~ 2016-04-23,Drunk On Your Love%BRETT ELDREDGE,37,40,44,49,54,52,61,59,61,62,48
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,48,2016-04-03 ~ 2016-04-09,Ex's & Oh's%ELLE KING,38,40,40,34,33,36,32,31,29,25,49
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,49,2016-04-10 ~ 2016-04-16,Ex's & Oh's%ELLE KING,38,48,40,40,34,33,36,32,31,29,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Ex's & Oh's%ELLE KING,38,49,48,40,40,34,33,36,32,31,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,30,2016-04-03 ~ 2016-04-09,Exchange%BRYSON TILLER,39,26,36,37,43,39,44,40,39,44,26
0,1372,126.234149945,0.219426565243,0.00468110005851,41.7777777778,0.290228203628,26,2016-04-10 ~ 2016-04-16,Exchange%BRYSON TILLER,39,30,26,36,37,43,39,44,40,39,29
1,1373,124.621529661,0.181623931624,0.00213675213675,64.0,0.11396011396,29,2016-04-17 ~ 2016-04-23,Exchange%BRYSON TILLER,39,26,30,26,36,37,43,39,44,40,31
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,100,2016-04-03 ~ 2016-04-09,Fast Car%JONAS BLUE ,40,101,101,101,101,101,101,101,101,101,100
0,1372,0.874835610955,0.294117647059,0.235294117647,1.2,0.529411764706,100,2016-04-10 ~ 2016-04-16,Fast Car%JONAS BLUE ,40,100,101,101,101,101,101,101,101,101,98
1,1373,1.30645501159,0.41935483871,0.161290322581,2.33333333333,1.06451612903,98,2016-04-17 ~ 2016-04-23,Fast Car%JONAS BLUE ,40,100,100,101,101,101,101,101,101,101,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Fly Shit Only%FUTURE,41,101,101,101,101,67,101,101,101,101,101
0,1372,2.41889038203,1.0,0.0,36.0,0.0285714285714,101,2016-04-10 ~ 2016-04-16,Fly Shit Only%FUTURE,41,101,101,101,101,101,67,101,101,101,101
1,1373,4.19515226849,1.0,0.0,31.0,0.0666666666667,101,2016-04-17 ~ 2016-04-23,Fly Shit Only%FUTURE,41,101,101,101,101,101,101,67,101,101,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Get Ugly%JASON DERULO,42,97,77,65,58,56,56,52,54,62,101
0,1372,4.12002431959,0.0,1.0,0.030303030303,0.0,101,2016-04-10 ~ 2016-04-16,Get Ugly%JASON DERULO,42,101,97,77,65,58,56,56,52,54,101
1,1373,16.0432914213,0.0,1.0,0.0344827586207,0.0357142857143,101,2016-04-17 ~ 2016-04-23,Get Ugly%JASON DERULO,42,101,101,97,77,65,58,56,56,52,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Good To Be Alive (Hallelujah)%ANDY GRAMMER,43,101,101,101,90,87,84,70,83,81,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Good To Be Alive (Hallelujah)%ANDY GRAMMER,43,101,101,101,101,90,87,84,70,83,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Good To Be Alive (Hallelujah)%ANDY GRAMMER,43,101,101,101,101,101,90,87,84,70,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Gotta Lotta%2 CHAINZ ,44,100,101,101,101,101,101,101,101,101,101
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-10 ~ 2016-04-16,Gotta Lotta%2 CHAINZ ,44,101,100,101,101,101,101,101,101,101,101
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-17 ~ 2016-04-23,Gotta Lotta%2 CHAINZ ,44,101,101,100,101,101,101,101,101,101,101
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,15,2016-04-03 ~ 2016-04-09,Hands To Myself%SELENA GOMEZ,45,13,15,11,11,12,13,7,21,37,15
0,1372,2.21930670376,0.0,0.0,1.0,0.0,15,2016-04-10 ~ 2016-04-16,Hands To Myself%SELENA GOMEZ,45,15,13,15,11,11,12,13,7,21,17
1,1373,5.10051694428,0.0540540540541,0.0540540540541,1.0,0.378378378378,17,2016-04-17 ~ 2016-04-23,Hands To Myself%SELENA GOMEZ,45,15,15,13,15,11,11,12,13,7,18
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,94,2016-04-03 ~ 2016-04-09,Head Over Boots%JON PARDI,46,98,97,101,101,101,101,101,101,101,92
1,1372,0.00595238095238,0.0,0.0,1.0,0.0,92,2016-04-10 ~ 2016-04-16,Head Over Boots%JON PARDI,46,94,98,97,101,101,101,101,101,101,85
2,1373,0.00595238095238,0.0,0.0,1.0,0.0,85,2016-04-17 ~ 2016-04-23,Head Over Boots%JON PARDI,46,92,94,98,97,101,101,101,101,101,89
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,56,2016-04-03 ~ 2016-04-09,Heartbeat%CARRIE UNDERWOOD,47,48,46,44,42,55,58,58,60,70,75
0,1372,0.268612615839,0.4,0.6,0.75,0.4,75,2016-04-10 ~ 2016-04-16,Heartbeat%CARRIE UNDERWOOD,47,56,48,46,44,42,55,58,58,60,80
1,1373,0.0119047619048,0.0,1.0,0.333333333333,0.0,80,2016-04-17 ~ 2016-04-23,Heartbeat%CARRIE UNDERWOOD,47,75,56,48,46,44,42,55,58,58,95
0,1371,0.00595238095238,0.0,0.0,1.0,0.0,101,2016-04-03 ~ 2016-04-09,Hello Friday%FLO RIDA ,48,101,79,101,101,101,101,101,101,101,101
